,importance,n,p99_high,p99_low,p_value,stddev
E8_Def_3_Avg,5.580357142861055e-05,5.0,0.000832778915185632,-0.0007211717723284109,0.5067167809227707,0.00037735314627599623
Last10,5.301339285716337e-05,5.0,0.0019466457799812741,-0.0018406189942669472,0.500426816814867,0.000919679298594153
RankAdjOE_Seed_Avg,5.1153273809534395e-05,5.0,0.0010096206862859746,-0.0009073141386669058,0.5123496083861595,0.0004654982897553874
DR1Rank_Seed_Avg,4.371279761909986e-05,5.0,0.0009702443577651287,-0.0008828187625269291,0.5453207514568394,0.00044998802362826196
Off_3_Seed_Avg,2.306547619047214e-05,5.0,0.0011489880731325188,-0.0011028571207515744,0.42412606908694866,0.0005468261481308841
RankOE,2.1019345238104665e-05,5.0,0.0026758399626544108,-0.0026338012721782017,0.3631806906834332,0.0012893651270016544
DR1,1.9903273809570204e-05,5.0,0.0007230008548995016,-0.0006831943072803612,0.39477692752750465,0.0003414729778687786
R32_RankDef_3_Avg,1.953125000002665e-05,5.0,0.0006869585951854713,-0.000647896095185418,0.3961590677929796,0.0003241490359250373
E8_DR4Rank_Avg,1.934523809529558e-05,5.0,0.0016160250575319908,-0.0015773345813413994,0.5239450281356955,0.0007754585242646339
R32_Hgt2Rank_Avg,1.860119047623065e-05,5.0,0.0009128327248128042,-0.000875630343860343,0.5325005825643873,0.00043430088958735786
R32_RankAdjTempo_Avg,1.4508928571466129e-05,5.0,0.0010425492589341088,-0.0010135314017911765,0.5708323275968741,0.0004992877267959664
S16_HgtEff_Avg,9.300595238144934e-06,5.0,0.0006092810750443924,-0.0005906798845681026,0.5130695256313597,0.00029139215752240307
E8_OR5Rank_Avg,6.510416666682954e-06,5.0,0.0005289250924342353,-0.0005159042591008693,0.43540569166210696,0.00025372082028807475
OR5Rank_Seed_Avg,4.464285714315491e-06,5.0,0.0014910752050888165,-0.0014821466336601855,0.4499099194107094,0.0007220014280011055
Hgt4_Seed_Avg,1.8601190476511893e-06,5.0,0.0006534914134470282,-0.0006497711753517258,0.44479795491386703,0.0003164773774731288
SizeRank,3.700743415417188e-17,5.0,0.0004475190290210255,-0.0004475190290209514,0.508082554575284,0.00021734629673430064
First_Year,0.0,5.0,0.0,0.0,0.5,0.0
HgtEffRank_Seed_Avg,-3.7202380951913564e-06,5.0,0.001089698578415178,-0.0010971390546055608,0.6799443043226585,0.0005310400567055772
R32_OR4Rank_Avg,-4.092261904742316e-06,5.0,0.001310802826938808,-0.0013189873507482928,0.37641845824568154,0.0006386043042224729
RankOE_Seed_Avg,-4.650297619024329e-06,5.0,0.0015673675642504028,-0.0015766681594884516,0.4104931504893128,0.000763480966217124
Off_1,-9.300595238070919e-06,5.0,0.0005469397433880736,-0.0005655409338642155,0.5004559083319245,0.00027014890955386815
S16_Hgt5_Avg,-1.3950892857139684e-05,5.0,0.000652577353528739,-0.0006804791392430185,0.5011402298097992,0.00032371237115368356
Pts4Rank,-1.6369047618998895e-05,5.0,0.0008481675388113992,-0.0008809056340493968,0.35138777834528656,0.000419878962159502
S16_DR2Rank_Avg,-2.1949404761915465e-05,5.0,0.0008234651190464328,-0.0008673639285702639,0.4561505762326825,0.00041059196154655383
E8_Size_Avg,-2.3251488095203193e-05,5.0,0.0009804260856720079,-0.001026929061862414,0.584913004432859,0.0004874554815038719
OR2,-2.325148809521062e-05,5.0,0.0004139600683505013,-0.00046046304454092253,0.5132310837519807,0.00021234027274951578
S16_RankAdjTempo_Avg,-2.585565476186753e-05,5.0,0.0006765039839179053,-0.0007282152934416404,0.5523738710279176,0.0003411145818238059
S16_OR2Rank_Avg,-2.6041666666642985e-05,5.0,0.000744314042672477,-0.000796397376005763,0.6158670755123441,0.00037413819242338966
